Zeit,Kessel,Kessel Soll,Kesseldruck,Abgas,Restsauerstoff,Abgasgebläse,Verbrauch seit Aschebox leeren,Inhalt Pelletsbehälter,Kollektor,Ladezustand,Angeforderte Leistung,Fühler 1 (oben),Fühler 2,Fühler 3,Fühler 4,Fühler 5,Vorlauf,Heizkurve,Vorrat,Außentemperatur,Externe Störmeldung
 17.03.2024 13:36:19,63°C,57°C,"1,80bar",43°C,---,0U/min,1323kg,45kg,57°C,45%,xxx,69°C,69°C,66°C,62°C,39°C,29°C,28°C,2203kg,"11,1°C",
 17.03.2024 13:37:29,63°C,57°C,"1,80bar",43°C,---,0U/min,1323kg,45kg,57°C,45%,xxx,69°C,69°C,66°C,62°C,39°C,26°C,28°C,2203kg,"11,1°C",
 17.03.2024 13:38:40,63°C,57°C,"1,80bar",43°C,---,0U/min,1323kg,45kg,57°C,45%,xxx,69°C,69°C,66°C,62°C,39°C,30°C,28°C,2203kg,"11,1°C",
 17.03.2024 13:39:53,63°C,57°C,"1,80bar",43°C,---,0U/min,1323kg,45kg,57°C,45%,xxx,69°C,69°C,66°C,62°C,39°C,28°C,28°C,2203kg,"11,1°C",
 17.03.2024 13:41:06,63°C,57°C,"1,80bar",43°C,---,0U/min,1323kg,45kg,58°C,45%,xxx,69°C,69°C,66°C,62°C,39°C,27°C,28°C,2203kg,"11,1°C",
 17.03.2024 13:42:17,63°C,57°C,"1,79bar",43°C,---,0U/min,1323kg,45kg,58°C,45%,xxx,69°C,69°C,66°C,62°C,39°C,31°C,28°C,2203kg,"11,1°C",
 17.03.2024 13:43:32,63°C,57°C,"1,79bar",43°C,---,0U/min,1323kg,45kg,58°C,45%,xxx,69°C,69°C,65°C,62°C,39°C,26°C,28°C,2203kg,"11,2°C",
 17.03.2024 13:44:42,63°C,57°C,"1,79bar",43°C,---,0U/min,1323kg,45kg,58°C,45%,xxx,69°C,69°C,65°C,62°C,39°C,28°C,28°C,2203kg,"11,2°C",
 17.03.2024 13:45:54,63°C,57°C,"1,79bar",43°C,---,0U/min,1323kg,45kg,58°C,45%,xxx,69°C,69°C,65°C,61°C,39°C,29°C,28°C,2203kg,"11,2°C",
 17.03.2024 13:47:04,63°C,57°C,"1,79bar",43°C,---,0U/min,1323kg,45kg,57°C,45%,xxx,69°C,69°C,65°C,61°C,39°C,26°C,28°C,2203kg,"11,2°C",
